Stamnummer,Thuisploeg,Uitploeg
625,Palace Sportif Bruxelles,Palace Sportif Bruxelles
626,Football Club Derby Gotthem,Football Club Derby Gotthem
627,Jong maar Moedig Deinze,Jong maar Moedig Deinze
628,Club Sportif T.E.P. Charleroi,Club Sportif T.E.P. Charleroi
629,Zurenborg Sport,Zurenborg Sport
630,St-Carolus Sportkring Anvers,St-Carolus Sportkring Anvers
631,Concordia Football Club Brasschaet,Concordia Football Club Brasschaet
632,Deurne-Zuid Sportkring,Deurne-Zuid Sportkring
633,Union Sportive St-Adrien Bruxelles,Union Sportive St-Adrien Bruxelles
634,Sp. Club St-Benoit Labre Bruxelles,Sp. Club St-Benoit Labre Bruxelles
635,Voetbal Club Moorsel,Voetbal Club Moorsel
636,Nooit Verwacht Beersse,Nooit Verwacht Beersse
637,KFC Zwarte Leeuw,KFC Zwarte Leeuw
638,CS Olen,CS Olen
639,Football Club Boulaer Sport,Football Club Boulaer Sport
640,St-Dionysius F.C. Putte-Cappellen,St-Dionysius F.C. Putte-Cappellen
641,Excelsior Football Club Diest,Excelsior Football Club Diest
642,Football Club De Eikelaer Kortrijk,Football Club De Eikelaer Kortrijk
643,Football Club Vriendschap Grammene,Football Club Vriendschap Grammene
644,Onder Ons Cruyshautem,Onder Ons Cruyshautem
645,Les Armuriers En Avant Supporters Club Herstal,Les Armuriers En Avant Supporters Club Herstal
646,Amicale Sportive des Cuisiniers de la Province de Liège,Amicale Sportive des Cuisiniers de la Province de Liège
647,Verein für Rasensport Kettenis,Verein für Rasensport Kettenis
648,Toonkunstenaars Sport Antwerpen,Toonkunstenaars Sport Antwerpen
649,Étoile Sportive Fexhe Slins,Étoile Sportive Fexhe Slins
650,Club Sportif Lovanabank Louvain,Club Sportif Lovanabank Louvain
651,V.V. De Breydelzonen Roulers,V.V. De Breydelzonen Roulers
652,F.C. Olympia Oostende,F.C. Olympia Oostende
653,Eendracht FC Zoersel,Eendracht FC Zoersel
654,Sporting Club du Nord,Sporting Club du Nord
655,Sportkring Boisschot,Sportkring Boisschot
656,Antonia FC,Antonia FC
657,Daring Club Bousval,Daring Club Bousval
658,Leiesport Wielsbeke,Leiesport Wielsbeke
659,Cercle Sportif de la Banque Gantoise de Crédit,Cercle Sportif de la Banque Gantoise de Crédit
660,Woodward Zout-Leeuw,Woodward Zout-Leeuw
661,Union Sportive Heinsch,Union Sportive Heinsch
662,Moedig Vooruit Ousselghem,Moedig Vooruit Ousselghem
663,Groupement Corporatif du Bassin de Charleroi,Groupement Corporatif du Bassin de Charleroi
664,Unknown Club,Unknown Club
665,Red Star Waregem,Red Star Waregem
666,Unknown Club,Unknown Club
667,Royale Entente des Clubs du Centre,Royale Entente des Clubs du Centre
668,Unknown Club,Unknown Club
669,Jeunesse Freylangeoise,Jeunesse Freylangeoise
670,Vermaak na Arbeid,Vermaak na Arbeid
671,Unknown Club,Unknown Club
672,Jumet SC,Jumet SC
673,Unknown Club,Unknown Club
674,Lindbergh Club Givry,Lindbergh Club Givry
675,Unknown Club,Unknown Club
676,FC Spy,FC Spy
677,Unknown Club,Unknown Club
678,VC Ardooie Sport,VC Ardooie Sport
679,Unknown Club,Unknown Club
680,RUS Flobecquoise,RUS Flobecquoise
681,Unknown Club,Unknown Club
682,CS Vielsalm,CS Vielsalm
683,Voetbalvereeniging Loo VV,Voetbalvereeniging Loo VV
684,Unknown Club,Unknown Club
685,KSK Jecora Tongeren,KSK Jecora Tongeren
686,Unknown Club,Unknown Club
687,Étoile FC Poulseur,Étoile FC Poulseur
688,Unknown Club,Unknown Club
689,RCS Halanzy,RCS Halanzy
690,Unknown Club,Unknown Club
691,Comblain Sport,Comblain Sport
692,Alliance Melen-Micheroux,Alliance Melen-Micheroux
693,Unknown Club,Unknown Club
694,KFC Meulebeke,KFC Meulebeke
695,Alost Sports,Alost Sports
696,Unknown Club,Unknown Club
697,Sport St-Genesius-Rode,Sport St-Genesius-Rode
698,Unknown Club,Unknown Club
699,KFC Hesbania Genoelselderen Riemst,KFC Hesbania Genoelselderen Riemst
700,Unknown Club,Unknown Club
701,SC Beernem,SC Beernem
702,Unknown Club,Unknown Club
703,Groen Wit Nijlen,Groen Wit Nijlen
704,Unknown Club,Unknown Club
705,RFC Hottonanis,RFC Hottonanis
706,Unknown Club,Unknown Club
707,Olympia SC Wijgmaal,Olympia SC Wijgmaal
708,Nijlen Sportvrienden,Nijlen Sportvrienden
709,Unknown Club,Unknown Club
710,URSL Visé,URSL Visé
711,Unknown Club,Unknown Club
712,KFC St-Lenaarts,KFC St-Lenaarts
713,Unknown Club,Unknown Club
714,Entente Club Football du Hainaut,Entente Club Football du Hainaut
715,Unknown Club,Unknown Club
716,Standaard SV Denderleeuw,Standaard SV Denderleeuw
717,Unknown Club,Unknown Club
718,Standard Club Oheytois,Standard Club Oheytois
719,Unknown Club,Unknown Club
720,RES Aubange,RES Aubange
721,KV Zuun,KV Zuun
722,Unknown Club,Unknown Club
723,BS Anhee,BS Anhee
724,Unknown Club,Unknown Club
725,Royal Fleurus Sports,Royal Fleurus Sports
726,Unknown Club,Unknown Club
727,KFC Lint,KFC Lint
728,Unknown Club,Unknown Club
729,KVC Oostmalle Sport,KVC Oostmalle Sport
730,Unknown Club,Unknown Club
731,Union Rixensartoise,Union Rixensartoise
732,Unknown Club,Unknown Club
733,Excelsior FC Évelette-Jallet,Excelsior FC Évelette-Jallet
734,Unknown Club,Unknown Club
735,KVV Hoeselt,KVV Hoeselt
736,Unknown Club,Unknown Club
737,KFC Helzold,KFC Helzold
738,Unknown Club,Unknown Club
739,RUS Ethe Belmont,RUS Ethe Belmont
740,Unknown Club,Unknown Club
741,SK Wevelghem,SK Wevelghem
742,Unknown Club,Unknown Club
743,Modave SC,Modave SC
744,Unknown Club,Unknown Club
745,Union Saint-Georges de Sinsin-Waillet,Union Saint-Georges de Sinsin-Waillet
746,KSK Oelegem,KSK Oelegem
747,Unknown Club,Unknown Club
748,Sporting West Harelbeke,Sporting West Harelbeke
749,Unknown Club,Unknown Club
750,RES Jamboise,RES Jamboise
751,RCS Libramontois,RCS Libramontois
752,Étoile Boraine-Quaregnon,Étoile Boraine-Quaregnon
753,KVC Arbeid Adelt Rekem,KVC Arbeid Adelt Rekem
754,Unknown Club,Unknown Club
755,RCS Anthisnois,RCS Anthisnois
756,Unknown Club,Unknown Club
757,Leopold Club Walcourt,Leopold Club Walcourt
758,Unknown Club,Unknown Club
759,RUS Rebecquoise,RUS Rebecquoise
760,KRC Zuid-West-Vlaanderen,KRC Zuid-West-Vlaanderen
761,Unknown Club,Unknown Club
762,Dottignies Sport,Dottignies Sport
763,Unknown Club,Unknown Club
764,KVC Deerlijk Sport,KVC Deerlijk Sport
765,Unknown Club,Unknown Club
766,VC Linkeroever,VC Linkeroever
767,Unknown Club,Unknown Club
768,Bevel FC,Bevel FC
769,Unknown Club,Unknown Club
770,Sportvereeniging Rumbeke,Sportvereeniging Rumbeke
771,Unknown Club,Unknown Club
772,RUS Belstam,RUS Belstam
773,ES Wanze/Bas-Oha,ES Wanze/Bas-Oha
774,Unknown Club,Unknown Club
775,Dinant FC,Dinant FC
776,Unknown Club,Unknown Club
777,Victoria VV 's Herenelderen,Victoria VV 's Herenelderen
778,Étoile Sportive Moncelloise,Étoile Sportive Moncelloise
779,Unknown Club,Unknown Club
780,Soignies Sports,Soignies Sports
781,Unknown Club,Unknown Club
782,RFCE Maurage,RFCE Maurage
783,Unknown Club,Unknown Club
784,Sougne-Remouchamps Sport,Sougne-Remouchamps Sport
785,Unknown Club,Unknown Club
786,Alliance Clavinoise SC,Alliance Clavinoise SC
787,Unknown Club,Unknown Club
788,Union Saint-Ghislain Tertre-Hautrage,Union Saint-Ghislain Tertre-Hautrage
789,Unknown Club,Unknown Club
790,RFC 1924 Sankt-Vith,RFC 1924 Sankt-Vith
791,Unknown Club,Unknown Club
792,ERC Hoeilaart,ERC Hoeilaart
793,KAC Olen,KAC Olen
794,Unknown Club,Unknown Club
795,RFC Wiersien,RFC Wiersien
796,Unknown Club,Unknown Club
797,Verbroedering Balen,Verbroedering Balen
798,Brecht SK,Brecht SK
799,Football Club Congo Lembecq,Football Club Congo Lembecq
800,Unknown Club,Unknown Club
801,Standaard FC Lokeren,Standaard FC Lokeren
802,KWS Oudenburg,KWS Oudenburg
803,RFC Bioul 81,RFC Bioul 81
804,Unknown Club,Unknown Club
805,KFC Heidebloem Pulderbos,KFC Heidebloem Pulderbos
806,Unknown Club,Unknown Club
807,RFC Turkania Faymonville,RFC Turkania Faymonville
808,Unknown Club,Unknown Club
809,RCS Paturageois,RCS Paturageois
810,Unknown Club,Unknown Club
811,RCS Xhorisien,RCS Xhorisien
812,Unknown Club,Unknown Club
813,KSK Geluwe,KSK Geluwe
814,Unknown Club,Unknown Club
815,KFC Scela Zele,KFC Scela Zele
816,Unknown Club,Unknown Club
817,RSC Muno,RSC Muno
818,Unknown Club,Unknown Club
819,Excelsior Stéphanois,Excelsior Stéphanois
820,Unknown Club,Unknown Club
821,FC Welkenraedt,FC Welkenraedt
822,Unknown Club,Unknown Club
823,KVK Avelgem,KVK Avelgem
824,Unknown Club,Unknown Club
825,KFC Putte,KFC Putte
826,Unknown Club,Unknown Club
827,RCS Condruzien,RCS Condruzien
828,Unknown Club,Unknown Club
829,RRC Estaimpuis,RRC Estaimpuis
830,Unknown Club,Unknown Club
831,KFC Paal-Tervant,KFC Paal-Tervant
832,Unknown Club,Unknown Club
833,FC Genappe,FC Genappe
834,Unknown Club,Unknown Club
835,RRC Trois-Ponts,RRC Trois-Ponts
836,Unknown Club,Unknown Club
837,KVV Coxyde,KVV Coxyde
838,Unknown Club,Unknown Club
839,RWDM Brussels FC,RWDM Brussels FC
840,Unknown Club,Unknown Club
841,KFC Meise,KFC Meise
842,Unknown Club,Unknown Club
843,Entente Marche FC,Entente Marche FC
844,KSK Vlamertinge,KSK Vlamertinge
845,Unknown Club,Unknown Club
846,Alliance FC Oppagne-Weris,Alliance FC Oppagne-Weris
847,Unknown Club,Unknown Club
848,RFC Comblain-la-Tour,RFC Comblain-la-Tour
849,Unknown Club,Unknown Club
850,KSV Diksmuide,KSV Diksmuide
851,Unknown Club,Unknown Club
852,Aywaille FC,Aywaille FC
853,Unknown Club,Unknown Club
854,KSK Wenduine,KSK Wenduine
855,KFC Lommel SK,KFC Lommel SK
856,Unknown Club,Unknown Club
857,RUS Stree,RUS Stree
858,Unknown Club,Unknown Club
859,Unknown Club,Unknown Club
860,Unknown Club,Unknown Club
861,Hezemeer Sport Meerhout,Hezemeer Sport Meerhout
862,Berg En Dal Meerhout,Berg En Dal Meerhout
863,Achel VV,Achel VV
864,Unknown Club,Unknown Club
865,Sport Na Arbeid Meerhout,Sport Na Arbeid Meerhout
866,Unknown Club,Unknown Club
867,KVC Westerlo,KVC Westerlo
868,Olen United,Olen United
869,Unknown Club,Unknown Club
870,SK Westerlo,SK Westerlo
871,Unknown Club,Unknown Club
872,FC Averbode-Testelt-Okselaar,FC Averbode-Testelt-Okselaar
873,Unknown Club,Unknown Club
874,KFC Zoerle Sport,KFC Zoerle Sport
875,Unknown Club,Unknown Club
876,KFC Tonderlo,KFC Tonderlo
877,Unknown Club,Unknown Club
878,Standaard FC Vorst,Standaard FC Vorst
879,Unknown Club,Unknown Club
880,KSV Mol,KSV Mol
881,Unknown Club,Unknown Club
882,Witgoor Sport Dessel,Witgoor Sport Dessel
883,Unknown Club,Unknown Club
884,Olsene Sportief,Olsene Sportief
885,Unknown Club,Unknown Club
886,Eendracht Club Rotem,Eendracht Club Rotem
887,Overpeltse VV,Overpeltse VV
888,Unknown Club,Unknown Club
889,KSV Moorsele,KSV Moorsele
890,Unknown Club,Unknown Club
891,RFC Orp-Noduwez,RFC Orp-Noduwez
892,Unknown Club,Unknown Club
893,Oreye Union,Oreye Union
894,Unknown Club,Unknown Club
895,RUS Herseautoise,RUS Herseautoise
896,Unknown Club,Unknown Club
897,RUS Marbehan,RUS Marbehan
898,KSK Zingem,KSK Zingem
899,Unknown Club,Unknown Club
900,RLC Folx-les-Caves,RLC Folx-les-Caves
901,RC Haecht,RC Haecht
902,Unknown Club,Unknown Club
903,Rupel-Boom FC,Rupel-Boom FC
904,Unknown Club,Unknown Club
905,AC Green Star Anderlecht,AC Green Star Anderlecht
906,Unknown Club,Unknown Club
907,Eendracht VV Genenbos,Eendracht VV Genenbos
908,VC Lot Sportief,VC Lot Sportief
909,Hoeselt VV,Hoeselt VV
910,As-Niel United,As-Niel United
911,Unknown Club,Unknown Club
912,KFC Itegem,KFC Itegem
913,Union Auderghem,Union Auderghem
914,Unknown Club,Unknown Club
915,KFC Excelsior Bouwel,KFC Excelsior Bouwel
916,Unknown Club,Unknown Club
917,RFC Sparta Sint-Jans-Molenbeek,RFC Sparta Sint-Jans-Molenbeek
918,Alliance des Hautes Fagnes,Alliance des Hautes Fagnes
919,Unknown Club,Unknown Club
920,Vrijheid Zolder,Vrijheid Zolder
921,RUS Les Bulles,RUS Les Bulles
922,Unknown Club,Unknown Club
923,Allemaal Samen Verbroedering Geel,Allemaal Samen Verbroedering Geel
924,Unknown Club,Unknown Club
925,Lorca FC Nord,Lorca FC Nord
926,KFC Heusden Sport,KFC Heusden Sport
927,Unknown Club,Unknown Club
928,KVK Wemmel,KVK Wemmel
929,Unknown Club,Unknown Club
930,US Albert,US Albert
931,FC Élougeois,FC Élougeois
932,Unknown Club,Unknown Club
933,Wallonie FC Nessonvaux,Wallonie FC Nessonvaux
934,Unknown Club,Unknown Club
935,KFC Tielen,KFC Tielen
936,Vlug En Vrij Meerhout,Vlug En Vrij Meerhout
937,KVV Zwaluwen Olmen,KVV Zwaluwen Olmen
938,Unknown Club,Unknown Club
939,Blauwvoet Oevel,Blauwvoet Oevel
940,Unknown Club,Unknown Club
941,RES Mussonnaise,RES Mussonnaise
942,Unknown Club,Unknown Club
943,Gembloux Sports,Gembloux Sports
944,Unknown Club,Unknown Club
945,RRC Stockay-Warfusee,RRC Stockay-Warfusee
946,Unknown Club,Unknown Club
947,KHO Merchtem-Brussegem,KHO Merchtem-Brussegem
948,Unknown Club,Unknown Club
949,RFC Natoye,RFC Natoye
950,Unknown Club,Unknown Club
951,RFC de Winenne,RFC de Winenne
952,Unknown Club,Unknown Club
953,KFC Marke,KFC Marke
954,Unknown Club,Unknown Club
955,KSV Hulshout,KSV Hulshout
956,Unknown Club,Unknown Club
957,RLC Bastogne,RLC Bastogne
958,FC de Bertrix,FC de Bertrix
959,Unknown Club,Unknown Club
960,KFC Aalbeke Sport,KFC Aalbeke Sport
961,Unknown Club,Unknown Club
962,RUS Saint-Roch Soy,RUS Saint-Roch Soy
963,Unknown Club,Unknown Club
964,KFC Linda Olen,KFC Linda Olen
965,Unknown Club,Unknown Club
966,Jespo Comines-Warneton,Jespo Comines-Warneton
967,Unknown Club,Unknown Club
968,KSK Beveren,KSK Beveren
969,Unknown Club,Unknown Club
970,RFC Baulet,RFC Baulet
971,KVC Rosselaar Hulsen Sportief,KVC Rosselaar Hulsen Sportief
972,Unknown Club,Unknown Club
973,Rekkem Sport,Rekkem Sport
974,Unknown Club,Unknown Club
975,RFC Perwez,RFC Perwez
976,Unknown Club,Unknown Club
977,Hoogstraten VV,Hoogstraten VV
978,Unknown Club,Unknown Club
979,KFC De Toekomst Menen,KFC De Toekomst Menen
980,KVK Ninove,KVK Ninove
981,RFC Ouffet-Warzée,RFC Ouffet-Warzée
982,Unknown Club,Unknown Club
983,Grand-Leez Sport,Grand-Leez Sport
984,Unknown Club,Unknown Club
985,RUS Louftemont,RUS Louftemont
986,Unknown Club,Unknown Club
987,KVV Vosselaar,KVV Vosselaar
988,Unknown Club,Unknown Club
989,Royale Union Limaloise,Royale Union Limaloise
990,Unknown Club,Unknown Club
991,KHIH Hoepertingen,KHIH Hoepertingen
992,Unknown Club,Unknown Club
993,RJR Aye FC,RJR Aye FC
994,Sporting Houthalen,Sporting Houthalen
995,Alliance FC Cuesmes,Alliance FC Cuesmes
996,FC Roode Ster Tongeren,FC Roode Ster Tongeren
997,Stade Pont à Cellois,Stade Pont à Cellois
998,Unknown Club,Unknown Club
999,FC Mazée,FC Mazée
1000,KFC Ham United,KFC Ham United
1001,Unknown Club,Unknown Club
1002,Excels. F.C. Neerheylissem,Excels. F.C. Neerheylissem
1003,SK Dilbeek,SK Dilbeek
1004,RCS de Genval,RCS de Genval
1005,FC Perck,FC Perck
1006,Unknown Club,Unknown Club
1007,SK Elewijt,SK Elewijt
1008,FC Elewijt,FC Elewijt
1009,Houthem Sport,Houthem Sport
1010,Sparta VV Melsbroek,Sparta VV Melsbroek
1011,FC Berg Op,FC Berg Op
1012,Klauwaerts Weerde,Klauwaerts Weerde
1013,Unknown Club,Unknown Club
1014,William Ellie Club,William Ellie Club
1015,Unknown Club,Unknown Club
1016,Neeroeteren FC,Neeroeteren FC
1017,Voort Sp. Heusden Vereen,Voort Sp. Heusden Vereen
1018,KVV Weerstand Koersel,KVV Weerstand Koersel
1019,Harzé FC,Harzé FC
1020,Étoile Sp. Mariembourg,Étoile Sp. Mariembourg
1021,Unknown Club,Unknown Club
1022,Football Club Laer,Football Club Laer
1023,Unknown Club,Unknown Club
1024,Braives FC,Braives FC
1025,Unknown Club,Unknown Club
1026,Sportkring Verbrande Brug,Sportkring Verbrande Brug
1027,De Toekomst Haekendover,De Toekomst Haekendover
1028,Unknown Club,Unknown Club
1029,US Beauraing,US Beauraing
1030,Unknown Club,Unknown Club
1031,FC Eppegem,FC Eppegem
1032,FC Zennestampers Weerde,FC Zennestampers Weerde
1033,Unknown Club,Unknown Club
1034,FC Klauwaerts Hofstade,FC Klauwaerts Hofstade
1035,Unknown Club,Unknown Club
1036,FC Espoir Op Heylissem,FC Espoir Op Heylissem
1037,Unknown Club,Unknown Club
1038,Anhée FC,Anhée FC
1039,Unknown Club,Unknown Club
1040,RUS Durnal,RUS Durnal
1041,Unknown Club,Unknown Club
1042,Union Wanlinoise,Union Wanlinoise
1043,Unknown Club,Unknown Club
1044,Stal Sport Koersel,Stal Sport Koersel
1045,Unknown Club,Unknown Club
1046,RCS Polonia Retinne,RCS Polonia Retinne
1047,Unknown Club,Unknown Club
1048,Boorsem Sport,Boorsem Sport
1049,Unknown Club,Unknown Club
1050,KFC Sint-Martinus Halle,KFC Sint-Martinus Halle
1051,Unknown Club,Unknown Club
1052,RCS Hastièrois,RCS Hastièrois
1053,Unknown Club,Unknown Club
1054,SV Moorslede,SV Moorslede
1055,Wallonia Libin,Wallonia Libin
1056,Unknown Club,Unknown Club
1057,Meerle FC,Meerle FC
1058,Unknown Club,Unknown Club
1059,RAEC Sclayn,RAEC Sclayn
1060,Unknown Club,Unknown Club
1061,KSV White Star Adinkerke,KSV White Star Adinkerke
1062,Unknown Club,Unknown Club
1063,Sorée FC,Sorée FC
1064,Unknown Club,Unknown Club
1065,FC Esperanza Pelt,FC Esperanza Pelt
1066,Unknown Club,Unknown Club
1067,Stormvogels Koekelare,Stormvogels Koekelare
1068,Étoile Wegnez,Étoile Wegnez
1069,KVV Sint-Denijs Sport,KVV Sint-Denijs Sport
1070,KVC Zwarte Duivels Westmeerbeek,KVC Zwarte Duivels Westmeerbeek
1071,Unknown Club,Unknown Club
1072,KFC Meer,KFC Meer
1073,Unknown Club,Unknown Club
1074,Lommel United,Lommel United
1075,Unknown Club,Unknown Club
1076,KFC Sparta Haacht Tildonk,KFC Sparta Haacht Tildonk
1077,Unknown Club,Unknown Club
1078,Halle VV,Halle VV
1079,Unknown Club,Unknown Club
1080,KVC Delta Londerzeel,KVC Delta Londerzeel
1081,Unknown Club,Unknown Club
1082,KSK Bree,KSK Bree
1083,Unknown Club,Unknown Club
1084,Standard FC Bièvre,Standard FC Bièvre
1085,Unknown Club,Unknown Club
1086,Excelsior de Fouches Arlon,Excelsior de Fouches Arlon
1087,Unknown Club,Unknown Club
1088,K. Bolderberg FC,K. Bolderberg FC
1089,Unknown Club,Unknown Club
1090,SC Mussy,SC Mussy
1091,Unknown Club,Unknown Club
1092,K. Beringen-Heusden-Zolder,K. Beringen-Heusden-Zolder
1093,Kampenhout SK,Kampenhout SK
1094,Unknown Club,Unknown Club
1095,Millen VV,Millen VV
1096,KFC Lille,KFC Lille
1097,Unknown Club,Unknown Club
1098,KFC Kluisbergen,KFC Kluisbergen
1099,Unknown Club,Unknown Club
1100,Sparta Waasmunster,Sparta Waasmunster
1101,Unknown Club,Unknown Club
1102,KFC Eksel,KFC Eksel
1103,Unknown Club,Unknown Club
1104,Berg-Op FC Beerzel,Berg-Op FC Beerzel
1105,Unknown Club,Unknown Club
1106,KFC Poederlee,KFC Poederlee
1107,Unknown Club,Unknown Club
1108,VC Vlug en Vrij Terhagen,VC Vlug en Vrij Terhagen
1109,Vlimmeren Sport,Vlimmeren Sport
1110,Eisden Sport Maasmechelen,Eisden Sport Maasmechelen
1111,Lanklaarse VV,Lanklaarse VV
1112,Unknown Club,Unknown Club
1113,RFC Rhisnois,RFC Rhisnois
1114,RCS Profondeville,RCS Profondeville
1115,Unknown Club,Unknown Club
1116,Vlug-Op Steenokkerzeel,Vlug-Op Steenokkerzeel
1117,Unknown Club,Unknown Club
1118,Hechtel FC,Hechtel FC
1119,Unknown Club,Unknown Club
1120,Eendracht Niel,Eendracht Niel
1121,KFC Baasrode,KFC Baasrode
1122,RCS Welkenraedt,RCS Welkenraedt
1123,Unknown Club,Unknown Club
1124,VC Zwarte Duivels Molenstede,VC Zwarte Duivels Molenstede
1125,Unknown Club,Unknown Club
1126,KBSK Retie,KBSK Retie
1127,Unknown Club,Unknown Club
1128,SC Koningslo-Mutsaard,SC Koningslo-Mutsaard
1129,Unknown Club,Unknown Club
1130,Noordstar VV,Noordstar VV
1131,Unknown Club,Unknown Club
1132,KV Hooikt,KV Hooikt
1133,KV Herselt,KV Herselt
1134,Gastuche FC,Gastuche FC
1135,Unknown Club,Unknown Club
1136,Eendracht Gingelom,Eendracht Gingelom
1137,Unknown Club,Unknown Club
1138,KFC Oostakker,KFC Oostakker
1139,Unknown Club,Unknown Club
1140,Sporting Nederokkerzeel,Sporting Nederokkerzeel
1141,KFC Rita Berlaar,KFC Rita Berlaar
1142,Unknown Club,Unknown Club
1143,Avenir Fouron FC,Avenir Fouron FC
1144,Unknown Club,Unknown Club
1145,RES Champlonaise,RES Champlonaise
1146,Unknown Club,Unknown Club
1147,KFC Berg-Op,KFC Berg-Op
1148,Unknown Club,Unknown Club
1149,Houtem Vlug en Vrij,Houtem Vlug en Vrij
1150,RUS Sainte-Ode,RUS Sainte-Ode
1151,Unknown Club,Unknown Club
1152,Bosquetia FC Frameries,Bosquetia FC Frameries
1153,Unknown Club,Unknown Club
1154,Voorwaarts Hakendover,Voorwaarts Hakendover
1155,RUS Club Anderlues,RUS Club Anderlues
1156,Unknown Club,Unknown Club
1157,Unie Sint-Gillis FC Tienen,Unie Sint-Gillis FC Tienen
1158,Unknown Club,Unknown Club
1159,Keiberg Sport,Keiberg Sport
1160,Ortho Sport,Ortho Sport
1161,Unknown Club,Unknown Club
1162,White Star Schoonbeek Beverst,White Star Schoonbeek Beverst
1163,Unknown Club,Unknown Club
1164,KFC Kerksken-Haaltert,KFC Kerksken-Haaltert
1165,Unknown Club,Unknown Club
1166,Entente Houffalize,Entente Houffalize
1167,Unknown Club,Unknown Club
1168,SK Oorbeek,SK Oorbeek
1169,FC Bost,FC Bost
1170,Unknown Club,Unknown Club
1171,Amicale Sportive Couillet,Amicale Sportive Couillet
1172,Unknown Club,Unknown Club
1173,Achel VV,Achel VV
1174,RUS Saroise,RUS Saroise
1175,Unknown Club,Unknown Club
1176,RUS Berismenil,RUS Berismenil
1177,KVV HO Molenbeersel,KVV HO Molenbeersel
1178,Unknown Club,Unknown Club
1179,Excelsior Club Beaumontois,Excelsior Club Beaumontois
1180,Unknown Club,Unknown Club
1181,RCS Naastois,RCS Naastois
1182,Unknown Club,Unknown Club
1183,Lutlommel VV,Lutlommel VV
1184,Unknown Club,Unknown Club
1185,Royal Entente Acren Lessines,Royal Entente Acren Lessines
1186,Unknown Club,Unknown Club
1187,SK Eernegem,SK Eernegem
1188,Unknown Club,Unknown Club
1189,Zonhoven United,Zonhoven United
1190,RCS Aulnoisien,RCS Aulnoisien
1191,Unknown Club,Unknown Club
1192,RUS Glontoise,RUS Glontoise
1193,Unknown Club,Unknown Club
1194,SV Eendracht Bazel,SV Eendracht Bazel
1195,Unknown Club,Unknown Club
1196,Royale Jeunesse Rochefortoise FC,Royale Jeunesse Rochefortoise FC
1197,Unknown Club,Unknown Club
1198,Lierneux FC,Lierneux FC
1199,Unknown Club,Unknown Club
1200,Unknown Club,Unknown Club
1201,Sporting Club Bosquetia Frameries,Sporting Club Bosquetia Frameries
1202,Unknown Club,Unknown Club
1203,KVC Gierle,KVC Gierle
1204,RFC Grâce-Hollogne,RFC Grâce-Hollogne
1205,RJS Olnoise,RJS Olnoise
1206,Aubel FC,Aubel FC
1207,Unknown Club,Unknown Club
1208,KSK Oosthoven,KSK Oosthoven
1209,Kaulille FC,Kaulille FC
1210,Entente Flostoy FC,Entente Flostoy FC
1211,Unknown Club,Unknown Club
1212,KVK Wellen,KVK Wellen
1213,Unknown Club,Unknown Club
1214,FC Olympic Sint-Pieters-Gent,FC Olympic Sint-Pieters-Gent
1215,Unknown Club,Unknown Club
1216,Standaert Boys Gent,Standaert Boys Gent
1217,KFC Jong Vlaanderen Kruibeke,KFC Jong Vlaanderen Kruibeke
1218,Unknown Club,Unknown Club
1219,KVV Lummen,KVV Lummen
1220,Woudsport Houthulst,Woudsport Houthulst
1221,Unknown Club,Unknown Club
1222,VV Minderhout,VV Minderhout
1223,Unknown Club,Unknown Club
1224,Eendracht Gent,Eendracht Gent
1225,Unknown Club,Unknown Club
1226,FC Netezonen Eindhout,FC Netezonen Eindhout
1227,RUS Montagnarde,RUS Montagnarde
1228,Unknown Club,Unknown Club
1229,RCS Verlaine,RCS Verlaine
1230,Unknown Club,Unknown Club
1231,RFC La Préalle,RFC La Préalle
1232,Union Flémalle,Union Flémalle
1233,Unknown Club,Unknown Club
1234,Jeunesse Magnétoise,Jeunesse Magnétoise
1235,RFC Levalois,RFC Levalois
1236,FC Tilleur Saint-Gilles,FC Tilleur Saint-Gilles
1237,Unknown Club,Unknown Club
1238,Beyne FC,Beyne FC
1239,Unknown Club,Unknown Club
1240,Flémalle FC,Flémalle FC
1241,RFC Jupille,RFC Jupille
1242,RUS Cheratte,RUS Cheratte
1243,RUS Jeunesse Wandruzienne,RUS Jeunesse Wandruzienne
1244,Unknown Club,Unknown Club
1245,RFC Villers,RFC Villers
1246,RFC Hainaut Sports Tertre,RFC Hainaut Sports Tertre
1247,Excelsior Vorst,Excelsior Vorst
1248,Unknown Club,Unknown Club
1249,Géants Athois,Géants Athois
1250,Kattenbos Sport,Kattenbos Sport
1251,RAS Lessines-Ollignies,RAS Lessines-Ollignies
1252,Unknown Club,Unknown Club
1253,RUS Neupréenne,RUS Neupréenne
1254,Unknown Club,Unknown Club
1255,FC Ans,FC Ans
1256,Unknown Club,Unknown Club
1257,RRC Méhange,RRC Méhange
1258,RJS Chênéenne,RJS Chênéenne
1259,La Royale Entente Wartet,La Royale Entente Wartet
1260,Unknown Club,Unknown Club
1261,KVV Hamontlo,KVV Hamontlo
1262,Unknown Club,Unknown Club
1263,Skill FC d'Ivoz-Ramet,Skill FC d'Ivoz-Ramet
1264,Unknown Club,Unknown Club
1265,Maanshotters Zuurbemde,Maanshotters Zuurbemde
1266,Unknown Club,Unknown Club
1267,FC Landen,FC Landen
1268,Unknown Club,Unknown Club
1269,RES Vezinoise,RES Vezinoise
1270,Unknown Club,Unknown Club
1271,Union Momalloise,Union Momalloise
